iteration,GA1,GA2,GA3,GD1,GD2,GD3
1,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333
2,0.353434872,0.312119558,0.33444557,0.341141914,0.32534059,0.333517497
3,0.373484343,0.291769216,0.334746441,0.349031988,0.317394407,0.333573605
4,0.393406022,0.272316625,0.334277353,0.356998491,0.309500784,0.333500725
5,0.413131119,0.25378421,0.333084671,0.365036113,0.301665675,0.333298212
6,0.432598125,0.236183536,0.331218339,0.373139331,0.293894951,0.332965718
7,0.451752946,0.21951644,0.328730615,0.381302443,0.286194368,0.332503189
8,0.470548839,0.203776219,0.325674942,0.389519593,0.278569537,0.33191087
9,0.488946196,0.18894883,0.322104973,0.397784805,0.27102589,0.331189305
10,0.506912208,0.175014056,0.318073736,0.406092012,0.263568664,0.330339324
11,0.524420439,0.161946608,0.313632953,0.414435084,0.256202869,0.329362047
12,0.541450342,0.149717159,0.3088325,0.422807856,0.248933274,0.32825887
13,0.557986744,0.138293273,0.303719983,0.431204153,0.24176439,0.327031457
14,0.574019313,0.127640249,0.298340437,0.439617818,0.234700453,0.325681729
15,0.589542023,0.117721857,0.29273612,0.448042731,0.227745417,0.324211852
16,0.604552638,0.108500977,0.286946385,0.456472834,0.220902942,0.322624223
17,0.61905222,0.099940147,0.281007633,0.464902149,0.214176394,0.320921458
18,0.633044662,0.092002021,0.274953318,0.473324795,0.207568832,0.319106373
19,0.646536259,0.084649748,0.268813993,0.481735009,0.201083015,0.317181975
20,0.659535315,0.077847281,0.262617404,0.490127158,0.1947214,0.315151441
21,0.672051785,0.071559615,0.2563886,0.498495753,0.188486142,0.313018105
22,0.684096954,0.065752977,0.250150069,0.506835462,0.182379098,0.310785441
23,0.695683157,0.06039496,0.243921882,0.515141118,0.176401835,0.308457047
24,0.706823525,0.055454625,0.23772185,0.523407733,0.170555636,0.306036631
25,0.717531767,0.050902555,0.231565679,0.531630501,0.164841503,0.303527996
26,0.727821982,0.046710888,0.22546713,0.53980481,0.159260171,0.300935019
27,0.7377085,0.042853325,0.219438175,0.547926242,0.153812114,0.298261644
28,0.747205735,0.03930512,0.213489145,0.55599058,0.148497557,0.295511863
29,0.75632808,0.036043045,0.207628875,0.563993811,0.143316485,0.292689704
30,0.7650898,0.033045355,0.201864845,0.57193213,0.138268654,0.289799216
31,0.773504961,0.030291735,0.196203304,0.579801939,0.133353603,0.286844458
32,0.781587358,0.027763245,0.190649397,0.587599846,0.128570667,0.283829487
33,0.78935047,0.025442259,0.185207271,0.595322669,0.123918987,0.280758343
34,0.796807415,0.023312397,0.179880189,0.602967432,0.119397522,0.277635046
35,0.803970922,0.021358461,0.174670616,0.610531364,0.11500506,0.274463576
36,0.810853311,0.019566371,0.169580317,0.618011894,0.110740234,0.271247872
37,0.817466474,0.017923094,0.164610432,0.625406652,0.106601529,0.267991819
38,0.823821867,0.016416582,0.159761551,0.632713463,0.102587297,0.26469924
39,0.82993051,0.015035708,0.155033782,0.639930344,0.098695766,0.26137389
40,0.835802984,0.013770203,0.150426813,0.647055497,0.094925053,0.258019451
41,0.841449435,0.012610602,0.145939964,0.654087307,0.091273173,0.25463952
42,0.846879582,0.011548182,0.141572236,0.661024336,0.087738052,0.251237612
43,0.852102724,0.010574915,0.137322361,0.667865317,0.084317536,0.247817147
44,0.857127752,0.009683413,0.133188835,0.674609148,0.081009399,0.244381453
45,0.86196316,0.008866881,0.129169959,0.681254887,0.077811357,0.240933756
46,0.866617058,0.008119076,0.125263866,0.687801747,0.074721071,0.237477183
47,0.871097187,0.00743426,0.121468553,0.694249085,0.071736161,0.234014754
48,0.875410928,0.006807167,0.117781905,0.700596404,0.06885421,0.230549386
49,0.879565322,0.00623296,0.114201718,0.706843337,0.066072777,0.227083886
50,0.883567082,0.005707201,0.110725717,0.712989651,0.063389398,0.223620952
51,0.887422605,0.005225821,0.107351574,0.71903523,0.060801596,0.220163174
52,0.891137991,0.004785086,0.104076924,0.724980078,0.058306889,0.216713033
53,0.89471905,0.004381573,0.100899378,0.730824309,0.055902793,0.213272898
54,0.898171321,0.004012145,0.097816534,0.736568139,0.05358683,0.209845031
55,0.901500084,0.003673926,0.094825989,0.742211882,0.051356532,0.206431586
56,0.904710371,0.003364283,0.091925346,0.747755947,0.049209444,0.203034608
57,0.907806977,0.003080801,0.089112222,0.753200828,0.047143134,0.199656039
58,0.910794476,0.002821269,0.086384255,0.758547097,0.045155189,0.196297714
59,0.913677228,0.002583664,0.083739108,0.763795405,0.043243228,0.192961367
60,0.916459393,0.00236613,0.081174478,0.768946473,0.041404895,0.189648632
61,0.919144937,0.002166969,0.078688094,0.774001084,0.039637873,0.186361043
62,0.921737648,0.001984627,0.076277724,0.778960084,0.037939876,0.18310004
63,0.924241139,0.001817681,0.07394118,0.783824373,0.036308661,0.179866966
64,0.92665886,0.001664828,0.071676312,0.788594902,0.034742021,0.176663077
65,0.928994106,0.001524875,0.069481019,0.793272667,0.033237795,0.173489537
66,0.931250024,0.00139673,0.067353246,0.797858709,0.031793866,0.170347426
67,0.933429623,0.001279395,0.065290982,0.802354104,0.030408158,0.167237738
68,0.935535778,0.001171954,0.063292268,0.806759964,0.029078647,0.164161389
69,0.937571239,0.00107357,0.061355191,0.811077432,0.027803353,0.161119216
70,0.939538635,0.000983478,0.059477887,0.815307676,0.026580344,0.158111981
71,0.941440484,0.000900975,0.057658541,0.819451889,0.025407737,0.155140374
72,0.943279193,0.000825421,0.055895386,0.823511286,0.0242837,0.152205015
73,0.94505707,0.000756228,0.054186702,0.827487096,0.023206446,0.149306458
74,0.946776325,0.000692857,0.052530818,0.831380568,0.02217424,0.146445192
75,0.948439073,0.000634819,0.050926108,0.835192958,0.021185396,0.143621646
76,0.950047344,0.000581661,0.049370995,0.838925536,0.020238275,0.140836189
77,0.951603083,0.000532972,0.047863945,0.842579577,0.019331287,0.138089136
78,0.953108157,0.000488374,0.046403469,0.846156363,0.018462892,0.135380746
79,0.954564354,0.000447524,0.044988122,0.849657176,0.017631595,0.132711229
80,0.955973394,0.000410103,0.043616503,0.853083304,0.016835949,0.130080747
81,0.957336925,0.000375823,0.042287252,0.85643603,0.016074555,0.127489415
82,0.958656532,0.00034442,0.040999048,0.859716639,0.015346057,0.124937304
83,0.959933736,0.000315651,0.039750613,0.862926409,0.014649145,0.122424447
84,0.961169999,0.000289294,0.038540707,0.866066615,0.013982552,0.119950833
85,0.962366727,0.000265146,0.037368127,0.869138525,0.013345057,0.117516418
86,0.96352527,0.000243022,0.036231708,0.872143399,0.012735478,0.115121123
87,0.964646929,0.00022275,0.035130321,0.875082489,0.012152677,0.112764834
88,0.965732953,0.000204175,0.034062872,0.877957037,0.011595553,0.110447409
89,0.966784545,0.000187155,0.0330283,0.880768276,0.011063049,0.108168675
90,0.967802864,0.000171559,0.032025578,0.883517423,0.010554143,0.105928434
91,0.968789023,0.000157267,0.03105371,0.886205689,0.01006785,0.103726461
92,0.969744096,0.00014417,0.030111734,0.888834267,0.009603225,0.101562508
93,0.970669117,0.000132167,0.029198716,0.891404338,0.009159355,0.099436306
94,0.971565083,0.000121167,0.028313751,0.893917071,0.008735364,0.097347565
95,0.972432952,0.000111085,0.027455963,0.896373618,0.008330406,0.095295976
96,0.973273651,0.000101845,0.026624504,0.898775116,0.007943671,0.093281213
97,0.974088071,9.34E-05,0.025818553,0.901122688,0.007574379,0.091302933
98,0.974877072,8.56E-05,0.025037314,0.90341744,0.007221781,0.089360779
99,0.975641484,7.85E-05,0.024280017,0.905660463,0.006885155,0.087454382
100,0.976382107,7.20E-05,0.023545916,0.907852832,0.00656381,0.085583358
101,0.977099713,6.60E-05,0.022834289,0.909995604,0.006257084,0.083747313
102,0.977795047,6.05E-05,0.022144436,0.91208982,0.005964337,0.081945843
103,0.978468827,5.55E-05,0.021475679,0.914136506,0.005684959,0.080178535
104,0.979121749,5.09E-05,0.020827363,0.916136668,0.005418363,0.078444969
105,0.979754482,4.67E-05,0.020198852,0.918091298,0.005163987,0.076744715
106,0.980367673,4.28E-05,0.019589532,0.920001371,0.00492129,0.07507734
107,0.980961947,3.92E-05,0.018998807,0.921867842,0.004689756,0.073442402
108,0.981537908,3.60E-05,0.0184261,0.923691653,0.004468888,0.071839459
109,0.982096139,3.30E-05,0.017870852,0.925473727,0.004258213,0.070268061
110,0.982637204,3.03E-05,0.017332523,0.92721497,0.004057274,0.068727756
111,0.983161646,2.78E-05,0.016810589,0.928916274,0.003865636,0.06721809
112,0.983669993,2.55E-05,0.016304542,0.930578511,0.003682882,0.065738607
113,0.984162753,2.34E-05,0.015813891,0.932202538,0.003508612,0.06428885
114,0.984640416,2.14E-05,0.015338161,0.933789197,0.003342443,0.06286836
115,0.98510346,1.96E-05,0.014876891,0.935339311,0.00318401,0.061476679
116,0.985552343,1.80E-05,0.014429634,0.936853689,0.003032962,0.060113349
117,0.98598751,1.65E-05,0.013995958,0.938333125,0.002888963,0.058777912
118,0.98640939,1.52E-05,0.013575445,0.939778395,0.002751694,0.057469911
119,0.9868184,1.39E-05,0.01316769,0.94119026,0.002620847,0.056188893
120,0.987214941,1.28E-05,0.012772299,0.942569467,0.00249613,0.054934403
